Time,The 1th agent_x,The 1th agent_y,The 2th agent_x,The 2th agent_y,The 3th agent_x,The 3th agent_y,The 4th agent_x,The 4th agent_y,The 5th agent_x,The 5th agent_y,The 6th agent_x,The 6th agent_y,The 7th agent_x,The 7th agent_y,The 8th agent_x,The 8th agent_y,The 9th agent_x,The 9th agent_y,The 10th agent_x,The 10th agent_y,The 11th agent_x,The 11th agent_y,The 12th agent_x,The 12th agent_y,The 13th agent_x,The 13th agent_y
10,-1.6890800350459667,1.759015266231672,0.004035602498779569,1.7561051445570248,1.7956715096659555,1.8877423677879448,-1.6249681636586968,0.04049770103861258,-0.07618284076675497,-0.005882488859398622,1.6471785405283421,-0.12943415651409756,-1.7143666986984276,-1.7074872658100735,-0.0002577220610888054,-1.7644152764957717,1.7761573295725743,-1.8746889294776765,-3.607644313042779,-0.0015418247531727423,3.7575074610882755,0.04332152156198018,0.03887299554174621,-3.6607470221478513,-0.005062025098894514,3.8305805606483645
11,-1.6657518290942968,1.7324385929361403,0.01323247470113767,1.729759729526746,1.7736624747094087,1.8588296947932834,-1.6006996600334482,0.04107655213862175,-0.08029572925921036,-0.008013260145908883,1.6461818106036423,-0.1339595502868172,-1.6790109555757557,-1.6839538108147112,0.00818247729939707,-1.7304674003936047,1.7458030274823526,-1.8471628043811887,-3.5715832954589364,-0.00818984881448451,3.729940148051981,0.06992292043389947,0.035393433084707875,-3.619780114445385,-0.0018733652439877299,3.793292451590549
12,-1.6460963741546377,1.7045077190647373,0.01801198316765098,1.7095213646886043,1.7482838936278648,1.8248155365350849,-1.581188830767234,0.043298568801336645,-0.08492377142214255,-0.009745242472307134,1.6405429431054415,-0.12552139226848769,-1.6415064384528535,-1.6637427349697818,0.015384612659251567,-1.7046138415298695,1.7123452058538848,-1.818789148849481,-3.532208892318568,-0.021441884252861615,3.695026802808134,0.0938976288020518,0.029901497333578372,-3.5766952270396892,0.008596003035184234,3.752327639030049
13,-1.6041637672476534,1.6653288881673034,0.02552396003465055,1.6737445136616722,1.6949994184943515,1.759410489809523,-1.5399359486996642,0.052874684125961774,-0.0928473971597591,-0.011970143893743916,1.6061810767038385,-0.10322118371203834,-1.5675848600512203,-1.6247674001910977,0.03425066744999029,-1.651347533532588,1.6523813621609234,-1.7576388885413097,-3.4591676720936704,-0.0655165423255177,3.6222041436914303,0.1253406973000386,0.020238292455175562,-3.488415173516457,0.024182176744701217,3.718783450704389
14,-1.5818850324842868,1.6460872500388142,0.034241670019042124,1.6450137420749837,1.6705825114348274,1.725485455518335,-1.516173608997043,0.05854260827937952,-0.09462365060283136,-0.011747650754829,1.5837907414544181,-0.10127744305048307,-1.541580887680085,-1.6018178466466246,0.04453200851136181,-1.621634950788784,1.6397767999747022,-1.7363313476958475,-3.4276751530866996,-0.08745112238004804,3.5849529421671833,0.12912963942422692,0.01854293515414389,-3.4445587760583174,0.014903841128688975,3.7272659227841625
15,-1.5679077023600312,1.6336353071170877,0.0422005701669057,1.6256745603691607,1.6445322212829097,1.6959835890475614,-1.5031499967445896,0.061424860624184646,-0.09466996637038191,-0.011435416756779851,1.5623997891816304,-0.09999682583892738,-1.5229479027221764,-1.5809622278463227,0.049197788443554095,-1.5999249247415033,1.6322438364513465,-1.7232831063023928,-3.39161054618888,-0.10220431565711983,3.5437276599444476,0.12780007707076146,0.01940466347287612,-3.4023935668646472,0.007844785123298422,3.7314497627531082
16,-1.5579303283569772,1.6270637301576465,0.04606737943877993,1.6135979397409859,1.6228865281030436,1.6644282196773459,-1.4936965126109987,0.06288221752253868,-0.0932994854597664,-0.011086971396987392,1.545221085774902,-0.09792042129532602,-1.5117587571107647,-1.562815853739079,0.05064935600629684,-1.583730350302966,1.6263532881130942,-1.7137649669732835,-3.3536480182195314,-0.11497357407009914,3.50199975163298,0.12401887095513037,0.022700419768488713,-3.36103070475048,0.005410549552793564,3.7332307401525258
17,-1.5315457727308883,1.6168177428084143,0.05169469747488096,1.5840746509904022,1.5891310064320945,1.5944694391514591,-1.4655291106393487,0.06636018251939386,-0.09375284397384,-0.011755878622671773,1.5058422376722744,-0.09073028283819227,-1.4937921938187826,-1.5109540012417224,0.05319224760647858,-1.5394770919948009,1.6086099458789846,-1.6733735785592148,-3.2813147391949244,-0.1474626607685986,3.417745445872958,0.09938288434786924,0.03408036504358436,-3.2751169033218344,0.012153382841391898,3.7299196203664042
18,-1.5055083534666485,1.6060435115965166,0.05741753193535732,1.5611881164853394,1.5738282061628985,1.5697493316001732,-1.444285517042953,0.06950691623538478,-0.09757196739528604,-0.014334637452122004,1.487461902201203,-0.08620836520602365,-1.4748942551911821,-1.4770272401575297,0.05631684056943513,-1.513672097411104,1.5943977525560735,-1.6426730298487893,-3.249281663789235,-0.14761809810604706,3.3834812259906184,0.08187671871061011,0.03141338390792205,-3.236807850309086,0.027180680166635877,3.7176267062024713
19,-1.4860412902436313,1.5930932683215102,0.06254710208826299,1.5444130278982549,1.564636030910713,1.55347696210899,-1.4262188089560415,0.07346377821319429,-0.10176747017504079,-0.01704031538511784,1.4760229908824982,-0.08388442554653457,-1.4468508494756434,-1.4469597015383422,0.06016360335663447,-1.4920971995011116,1.5776023082581498,-1.6171497323452724,-3.2095323879325157,-0.13658488622459378,3.346214660548074,0.06229920305003192,0.020084843174678936,-3.1960349803380588,0.04343136612856863,3.693823483945305
20,-1.472057825123898,1.579963585020172,0.06879530203670199,1.5318722859454628,1.5588461003652136,1.5413241694876287,-1.412045489907992,0.07880437221392102,-0.10528539585873677,-0.018109989858501326,1.4688066491918113,-0.0825444329421885,-1.4197232452715083,-1.417376255034421,0.06246603461338214,-1.4744509662515544,1.5583439220187512,-1.5954149198285896,-3.168502408552362,-0.11634522626772016,3.308784188695988,0.03778451589325123,0.0043717384913782055,-3.1553225792245296,0.054194422739080025,3.656873067059071
21,-1.4522837771936061,1.553337213593342,0.08384140568254472,1.5089260254155996,1.546545594888375,1.5166002530216864,-1.3889957707500333,0.09067309060778084,-0.1114788093421058,-0.01966828782940389,1.4541625920812886,-0.0799882093858486,-1.3692698063069502,-1.3590905148945396,0.06742928184971808,-1.4386098260592335,1.5178286323714947,-1.5477928412923259,-3.094549004491315,-0.07870387892119696,3.2405392303927085,0.009962334276299074,-0.03638080627935297,-3.0770190982089236,0.0581461233559801,3.5753640234872224
