Time,The 1th agent_x,The 1th agent_y,The 2th agent_x,The 2th agent_y,The 3th agent_x,The 3th agent_y,The 4th agent_x,The 4th agent_y,The 5th agent_x,The 5th agent_y,The 6th agent_x,The 6th agent_y,The 7th agent_x,The 7th agent_y,The 8th agent_x,The 8th agent_y,The 9th agent_x,The 9th agent_y,The 10th agent_x,The 10th agent_y,The 11th agent_x,The 11th agent_y,The 12th agent_x,The 12th agent_y,The 13th agent_x,The 13th agent_y
10,-4.038686627882387,4.025822906274458,-0.056813281163861994,2.0274058244169284,4.0544567914895495,4.0908137825081585,-2.2465021164136907,0.005768693175196545,-0.1743635079083267,0.001513492667573599,1.9399823791273392,-0.005698852249184949,-3.9835311593641096,-3.967058678089877,-0.03253770037098031,-2.057403303533163,4.072376411091252,-4.076025043274954,-5.551263969146212,-0.08022362661873671,5.494469451591254,0.03666307587113087,-0.21646366289615732,-5.485670603874346,-0.13501337033036007,5.453443203507118
11,-4.05968491680265,4.031917767868599,-0.06457934791523959,2.039003018826319,4.062714801657932,4.098733688544127,-2.283052516381577,0.0015418078736732315,-0.20122741896767352,0.0032746762742086963,1.9380964550948172,-0.006116633011270144,-4.001385007193421,-3.9801003348771498,-0.033777323920759196,-2.0664596891689055,4.080676041014287,-4.085729415371093,-5.563832550313076,-0.08278948225657899,5.5019150013344955,0.035473851378473066,-0.2241756612334615,-5.493803084145458,-0.14858961282249425,5.460473033502701
12,-4.0758244239489025,4.04187002990934,-0.07129792986897276,2.0490531833407553,4.067281473333032,4.109958807705973,-2.317821868233122,0.0016006363901442898,-0.2275335368722841,0.0053286629963747245,1.9383053146952438,-0.005604118720170949,-4.025063511245892,-3.990146894271744,-0.03828554336815368,-2.0750392807872418,4.086145240509975,-4.096695216659422,-5.575672845375989,-0.07011493008159841,5.508151521810267,0.035041554743171194,-0.2349247516058722,-5.501107583466751,-0.16296912409270095,5.4679049993138165
13,-4.088380105260943,4.055050254687877,-0.07714026121185194,2.059515315236413,4.073017950635043,4.119998618483737,-2.3535995038606075,0.0008702654450941769,-0.2536349389599723,0.007067158603496867,1.939858624559785,-0.003840028565892515,-4.048962292819966,-4.00009359137078,-0.04100803101303779,-2.0837590768441867,4.0938716156242725,-4.10535585271194,-5.587592992266843,-0.0526487617780283,5.515332411881937,0.03838031088896953,-0.2449317971747773,-5.508094767947872,-0.16911380189869663,5.476083298057393
14,-4.100084550288523,4.0679710385281265,-0.08158831913247239,2.070844869980852,4.08029764221401,4.127931053599373,-2.39102959540568,-0.0013869706702027964,-0.28021695224123677,0.008032451872793377,1.941739383490686,-0.003508833865599839,-4.0685291409345385,-4.013192285865857,-0.04400493817640156,-2.0930837087243352,4.101635816643825,-4.113571835173617,-5.599513855079752,-0.03815395051941924,5.522295076496616,0.04248951683496266,-0.2485542942889736,-5.516081570393533,-0.16997834127643768,5.484335291118743
15,-4.1089383615925925,4.081194783152936,-0.08507256737860827,2.080763720070943,4.084792002288479,4.1377582665528845,-2.4287291020477912,-0.0018791816853096816,-0.3068694534668184,0.008563677147005622,1.945888281177706,-0.0032229587390774058,-4.0901938923616905,-4.022182113858919,-0.04715367316462464,-2.102532677413125,4.1080506106231285,-4.122870425690746,-5.611649353139843,-0.014859075795291067,5.529434478089777,0.048677083004937456,-0.25807542018090945,-5.52381891375125,-0.17488105810125842,5.492788593035675
16,-4.118563632303887,4.093643069503205,-0.08855553974890187,2.0910240450602564,4.0928323073479795,4.144071435675623,-2.4652283786136784,-0.0043762539222998624,-0.332560545573894,0.008602048400238456,1.95148420478146,-0.0029615961944902403,-4.111106536152451,-4.03060006146404,-0.04836298606514287,-2.1120736674868956,4.114816886626683,-4.130880802935214,-5.6235212130973125,0.00977278744980569,5.53765094889641,0.049564082629477584,-0.26564984720662127,-5.531512938010768,-0.17674142976829113,5.500385394455972
17,-4.128611557024816,4.105925187351764,-0.09224231358072583,2.101237148348154,4.1000512684761885,4.151785814472718,-2.500416120102607,-0.007028954477282515,-0.3590270334967906,0.008310564955054675,1.9577952819100743,-0.0029464300152111517,-4.13297965925233,-4.037714225100642,-0.050739813684364046,-2.1214714371524455,4.118603689457431,-4.141420794855289,-5.63430399885924,0.0379300580641869,5.545077527462866,0.04672841916435205,-0.2766891837280457,-5.539593689461249,-0.18273505780796662,5.50787394739746
18,-4.135120525005854,4.119780303295212,-0.09459164215377461,2.110690761036525,4.104639956612281,4.161255360342149,-2.5329522255356967,-0.007564756630573531,-0.3855699821270381,0.00767575809735003,1.9649871950131956,-0.002187386874917251,-4.158266088328945,-4.039581414926641,-0.05261118244305739,-2.131436287561891,4.123118513523829,-4.150920819569948,-5.642972228405121,0.0797895634875019,5.552441363298676,0.047516591270022245,-0.2911140822117244,-5.5466988770039585,-0.1919669095702473,5.5155015284935365
19,-4.1429769753794226,4.134194519973214,-0.09727131762095861,2.1218540752084603,4.111627146437454,4.168153071934684,-2.5645629386281605,-0.010899849087562622,-0.41474444767333213,0.006673475273638446,1.9726567232133458,-0.0018225186834610167,-4.182046400371054,-4.0441345118618015,-0.05206963699336278,-2.142200435721136,4.130700817623797,-4.158043608818645,-5.649205959350102,0.12280289256384379,5.560640979309406,0.04999898390796794,-0.2951665004454783,-5.5544919022544486,-0.19608439880258682,5.523382241075691
