Time,The 1th agent,The 2th agent,The 3th agent,The 4th agent,The 5th agent,The 6th agent,The 7th agent,The 8th agent,The 9th agent,The 10th agent,The 11th agent,The 12th agent,The 13th agent
23,176.17716094746964,17.89214341830074,159.56921600739545,1.5241687690878958,1.1205293913822343,16.775463855862316,178.53867213051444,18.310098555217948,158.13841649847762,63.574361056334574,36.08122466144075,48.127380668375366,53.2238086915433
24,172.9373876308702,18.746899376940377,156.1075116886128,1.7873900214351675,1.320413722388123,17.559686021047913,175.26431998346627,18.812703616529124,154.75402047847305,60.38101434800682,32.415277156234204,44.55655348022573,49.42558309968072
25,169.91444538148687,19.446678150443674,152.98095783717935,2.0546321715873965,1.443358453574157,18.17020408926968,172.22938775965997,19.38839051114154,151.55414736767497,57.24489257379571,29.39443768757389,41.270330249760114,46.08461380788387
26,166.8123868070076,20.075351461966083,149.97698712606558,2.379525535031619,1.4687331524767457,18.47996757915476,169.19788286484032,19.964910696546657,148.4159443244831,54.1175447844594,26.942881277622924,37.965655468935054,42.707622993355834
27,163.66441601040967,20.67429110575643,146.92792395944443,2.733858446966254,1.5206905041828194,18.72830077391865,166.1099550093385,20.328937367463034,145.40553194470527,50.96868881255024,24.882775586030082,34.69253559727473,39.320139327823036
28,160.54700789784636,21.154317292372188,143.9283682384058,2.9996007668332254,1.5492208803952245,18.948793779784534,163.09223735574344,20.688955167777262,142.33372475195864,47.844498738936196,23.022272887004053,31.67741831361068,36.02341889284804
29,157.45731974194442,21.636703774954295,140.9782512971215,3.3102029759168152,1.5234611793164485,19.01806263712377,160.16800396057963,21.000117745632622,139.2796828369957,44.78151334650583,21.432485366220938,28.91621952237385,32.857540303653956
30,154.16434980597546,21.980387911908004,137.86842765763186,3.640135493086675,1.4717341967034718,19.038533038898287,157.05916065735803,21.124406474245113,136.13962715242397,41.42699509588754,20.065376977905903,26.46173385671211,29.84856452877247
31,151.10085153847078,22.24491104552354,134.89744028171478,3.8703383453401785,1.5237519817519005,18.98259144429309,154.1214424076602,21.090959139887005,133.23582344141118,38.34832134947132,18.984811663005022,24.53366307584813,27.39403628100154
32,148.04874219330503,22.423805991086937,132.01542349137344,4.028864453047334,1.61006436964447,18.94373203196395,151.23101531257066,20.9559986917295,130.33773773996234,35.31721426700919,18.00142382205394,22.897452352360794,25.256299061096588
33,145.07928082891448,22.414725256328673,129.2231585937877,4.178137143520809,1.6389564890994819,18.93893795963122,148.3601556917748,20.803212926458787,127.43857340161358,32.39262565885105,17.11970451878288,21.44869979367598,23.51558100984245
34,142.10313939215607,22.380010692434418,126.37768743419268,4.1126297637835485,1.686281441008505,18.903208613033915,145.47945613049126,20.688577650653315,124.51618938943282,29.88865653708652,16.247904050089954,20.209525224933014,21.956863241324374
35,139.20079334487355,22.19983398966484,123.51635031893896,3.9053392101998434,1.7335996725591143,18.851153239002908,142.6189950411271,20.46861998432979,121.60639951644609,27.804395517293514,15.518486085740543,19.181478931590785,20.783881261430228
36,136.3761927478233,21.88693572013446,120.71712655662361,3.6748392743279585,1.7020692281470935,18.730728676911617,139.7825742923165,20.286879742153335,118.6815018743217,26.00481944661531,14.972231979119426,18.19667563411274,19.857158287318615
37,133.5233674683651,21.77870492992399,117.86022278151992,3.4109508695808253,1.6669285073815403,18.524328545890942,136.92342512711485,20.095716570870753,115.78257422677822,24.58900479636424,14.465325241026473,17.187648328626587,18.872907820389102
38,130.40745002829962,21.499288931956684,114.82415508550433,3.1148882197459975,1.554374502050451,18.335651367730417,133.83043416918767,19.760609035127896,112.73042322161865,23.274608215506536,13.975817825739279,16.362194829421217,18.046587861944595
